transaction_id,account_id,timestamp,amount,currency,merchant,country,channel,mcc_code,counterparty_id,counterparty_name
TXN-00004,ACC-1008,2026-06-01T05:44:00,311.82,USD,Grocery Mart,SG,CARD,6011,,
TXN-00364,ACC-1004,2026-06-01T06:32:00,861.92,USD,Grocery Mart,SG,ACH,6051,,
TXN-00144,ACC-1014,2026-06-01T23:09:00,536.93,USD,Wire Transfer,SG,ACH,7995,,
TXN-00334,ACC-1008,2026-06-01T23:13:00,1179.25,USD,Shell Gas,CA,ACH,7995,,
TXN-00320,ACC-1005,2026-06-01T23:21:00,448.85,USD,Cash Deposit Kiosk,DE,WIRE,6051,BEN-1002,Morgan Lee
TXN-00181,ACC-1020,2026-06-02T01:30:00,157.14,USD,ATM Withdrawal,SG,ACH,7995,,
TXN-00279,ACC-1020,2026-06-02T15:56:00,264.05,USD,Payroll Inc,AU,CARD,5999,,
TXN-00367,ACC-1009,2026-06-02T16:52:00,409.06,USD,ATM Withdrawal,AU,WIRE,5411,BEN-1001,Alex Rivera
TXN-00243,ACC-1017,2026-06-02T20:32:00,1045.58,USD,Crypto Exchange Alpha,CA,WIRE,7995,BEN-1003,Jordan Kim
TXN-00156,ACC-1009,2026-06-02T21:25:00,3141.17,USD,Amazon,DE,P2P,6051,BEN-1001,Alex Rivera
TXN-00294,ACC-1001,2026-06-03T01:08:00,597.48,USD,Grocery Mart,AU,ATM,6051,,
TXN-00316,ACC-1023,2026-06-03T05:26:00,854.19,USD,Amazon,GB,ATM,7995,,
TXN-00159,ACC-1020,2026-06-03T09:50:00,830.65,USD,Amazon,SG,P2P,5999,BEN-1003,Jordan Kim
TXN-00029,ACC-1002,2026-06-03T10:04:00,292.7,USD,Crypto Exchange Alpha,CA,CARD,5999,,
TXN-00342,ACC-1019,2026-06-03T14:38:00,528.19,USD,Amazon,AU,WIRE,7995,BEN-1001,Alex Rivera
TXN-00261,ACC-1018,2026-06-03T19:09:00,377.86,USD,Consulting Fees Ltd,AU,CARD,4829,,
TXN-00246,ACC-1015,2026-06-03T20:24:00,239.26,USD,Offshore Holdings LLC,DE,ACH,4829,,
TXN-00257,ACC-1014,2026-06-03T23:55:00,185.22,USD,Cash Deposit Kiosk,DE,ATM,4829,,
TXN-00363,ACC-1021,2026-06-04T00:26:00,627.59,USD,Crypto Exchange Alpha,GB,ACH,5999,,
TXN-00039,ACC-1010,2026-06-04T01:37:00,500.97,USD,Payroll Inc,SG,P2P,5411,BEN-1002,Morgan Lee
TXN-00258,ACC-1020,2026-06-04T02:42:00,657.34,USD,ATM Withdrawal,AU,CARD,6051,,
TXN-00273,ACC-1016,2026-06-04T03:33:00,408.0,USD,Offshore Holdings LLC,GB,WIRE,4829,BEN-1002,Morgan Lee
TXN-00012,ACC-1010,2026-06-04T07:52:00,526.45,USD,Grocery Mart,US,ATM,4829,,
TXN-00288,ACC-1001,2026-06-04T09:31:00,549.55,USD,Consulting Fees Ltd,CA,CARD,6051,,
TXN-00215,ACC-1018,2026-06-04T11:32:00,929.7,USD,Offshore Holdings LLC,US,ATM,7995,,
TXN-00216,ACC-1001,2026-06-04T11:53:00,172.41,USD,Shell Gas,DE,ACH,6051,,
TXN-00237,ACC-1013,2026-06-04T12:32:00,495.27,USD,Crypto Exchange Alpha,DE,ATM,5411,,
TXN-00333,ACC-1018,2026-06-04T17:29:00,191.54,USD,Offshore Holdings LLC,AU,ACH,7995,,
TXN-00300,ACC-1023,2026-06-04T18:30:00,162.08,USD,Payroll Inc,GB,P2P,6011,BEN-1004,Taylor Brooks
TXN-00252,ACC-1024,2026-06-04T20:21:00,4164.58,USD,Shell Gas,DE,CARD,7995,,
TXN-00035,ACC-1003,2026-06-04T20:34:00,105.33,USD,Shell Gas,US,WIRE,7995,BEN-1002,Morgan Lee
TXN-00044,ACC-1024,2026-06-05T00:29:00,79.33,USD,Cash Deposit Kiosk,CA,ACH,5411,,
TXN-00271,ACC-1018,2026-06-05T04:20:00,83.14,USD,Shell Gas,AU,ATM,7995,,
TXN-00196,ACC-1012,2026-06-05T04:47:00,152.59,USD,Amazon,AU,ACH,5999,,
TXN-00260,ACC-1004,2026-06-05T07:49:00,145.53,USD,Grocery Mart,AU,CARD,7995,,
TXN-00059,ACC-1008,2026-06-05T08:22:00,1179.8,USD,Payroll Inc,AU,ATM,5999,,
TXN-00206,ACC-1014,2026-06-05T10:36:00,710.9,USD,Cash Deposit Kiosk,SG,ATM,5999,,
TXN-00291,ACC-1009,2026-06-05T12:32:00,234.56,USD,Payroll Inc,SG,CARD,6051,,
TXN-00397,ACC-1022,2026-06-05T13:43:00,1788.73,USD,Wire Transfer,SG,CARD,6011,,
TXN-00245,ACC-1011,2026-06-05T16:34:00,279.23,USD,Payroll Inc,CA,P2P,7995,BEN-1001,Alex Rivera
TXN-00262,ACC-1014,2026-06-05T18:08:00,11.41,USD,Grocery Mart,CA,ATM,4829,,
TXN-00089,ACC-1020,2026-06-05T20:02:00,709.52,USD,Crypto Exchange Alpha,US,WIRE,6051,BEN-1001,Alex Rivera
TXN-00240,ACC-1000,2026-06-06T00:16:00,168.72,USD,Wire Transfer,GB,P2P,6051,BEN-1005,Casey Nguyen
TXN-00040,ACC-1016,2026-06-06T05:04:00,908.97,USD,Shell Gas,CA,WIRE,5411,BEN-1004,Taylor Brooks
TXN-00117,ACC-1021,2026-06-06T05:15:00,111.55,USD,Payroll Inc,GB,ACH,6011,,
TXN-00002,ACC-1000,2026-06-06T06:14:00,822.59,USD,Cash Deposit Kiosk,CA,ACH,6051,,
TXN-00114,ACC-1009,2026-06-06T07:07:00,326.49,USD,ATM Withdrawal,CA,P2P,6051,BEN-1005,Casey Nguyen
TXN-00102,ACC-1006,2026-06-06T07:46:00,276.72,USD,Consulting Fees Ltd,SG,P2P,5999,BEN-1002,Morgan Lee
TXN-00135,ACC-1013,2026-06-06T07:53:00,2219.26,USD,Consulting Fees Ltd,US,ACH,5999,,
TXN-00160,ACC-1004,2026-06-06T09:20:00,138.08,USD,ATM Withdrawal,AU,WIRE,6011,BEN-1002,Morgan Lee
TXN-00163,ACC-1011,2026-06-06T12:00:00,163.57,USD,Payroll Inc,DE,ACH,7995,,
TXN-00287,ACC-1000,2026-06-06T12:32:00,770.58,USD,Crypto Exchange Alpha,SG,WIRE,4829,BEN-1005,Casey Nguyen
TXN-00124,ACC-1014,2026-06-06T19:02:00,769.35,USD,Grocery Mart,SG,P2P,5411,BEN-1003,Jordan Kim
TXN-00385,ACC-1013,2026-06-07T00:05:00,476.01,USD,Payroll Inc,DE,ACH,6051,,
TXN-00383,ACC-1011,2026-06-07T02:00:00,226.26,USD,Consulting Fees Ltd,DE,CARD,4829,,
TXN-00219,ACC-1014,2026-06-07T10:45:00,441.45,USD,Payroll Inc,US,WIRE,6011,BEN-1001,Alex Rivera
TXN-00009,ACC-1007,2026-06-07T12:17:00,732.76,USD,Grocery Mart,SG,WIRE,4829,BEN-1003,Jordan Kim
TXN-00057,ACC-1022,2026-06-07T12:55:00,287.11,USD,Consulting Fees Ltd,US,WIRE,7995,BEN-1002,Morgan Lee
